OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
3,iterativefit,central,4,0.0,2.5,20.0,10000.0,-15.0,1.1,1.0
3,iterativefit,central,5,0.0,2.5,20.0,30.0,-15.0,0.0,1.0019701507606806
3,iterativefit,central,5,0.0,2.5,20.0,30.0,0.0,0.0589332926793606,1.0019701507606806
3,iterativefit,central,5,0.0,2.5,20.0,30.0,0.0589332926793606,0.1982606393548481,1.4765050087375018*(x-0.05893329267936069)*(x-0.05893329267936069)*(x-0.05893329267936069)-6.5574551769874745*(x-0.05893329267936069)*(x-0.05893329267936069)+1.7412794306453634*(x-0.05893329267936069)+1.0019701507606806
3,iterativefit,central,5,0.0,2.5,20.0,30.0,0.1982606393548481,0.2798104497089381,67.08186245023191*(x-0.19826063935484817)*(x-0.19826063935484817)*(x-0.19826063935484817)-12.173717932438205*(x-0.19826063935484817)*(x-0.19826063935484817)+0.0*(x-0.19826063935484817)+1.1212773666408136
3,iterativefit,central,5,0.0,2.5,20.0,30.0,0.2798104497089381,0.3594631704635709,147.53464654041565*(x-0.2798104497089381)*(x-0.2798104497089381)*(x-0.2798104497089381)-13.56485115347386*(x-0.2798104497089381)*(x-0.2798104497089381)-0.647170844927923*(x-0.2798104497089381)+1.0766985642091802
3,iterativefit,central,5,0.0,2.5,20.0,30.0,0.3594631704635709,0.4503760103952311,-400.6765285973054*(x-0.35946317046357096)*(x-0.35946317046357096)*(x-0.35946317046357096)+54.63996166311012*(x-0.35946317046357096)*(x-0.35946317046357096)+0.0*(x-0.35946317046357096)+1.0136449662352127
3,iterativefit,central,5,0.0,2.5,20.0,30.0,0.4503760103952311,0.5500660316405541,249.35618962728407*(x-0.4503760103952311)*(x-0.4503760103952311)*(x-0.4503760103952311)-37.287485762395114*(x-0.4503760103952311)*(x-0.4503760103952311)+0.0*(x-0.4503760103952311)+1.1641806917942292
3,iterativefit,central,5,0.0,2.5,20.0,30.0,0.5500660316405541,0.6512235451401656,-113.8321534676726*(x-0.5500660316405541)*(x-0.5500660316405541)*(x-0.5500660316405541)+17.272466401643896*(x-0.5500660316405541)*(x-0.5500660316405541)+0.0*(x-0.5500660316405541)+1.0406584335342752
3,iterativefit,central,5,0.0,2.5,20.0,30.0,0.6512235451401656,0.7518453260380299,32.155559268099694*(x-0.6512235451401656)*(x-0.6512235451401656)*(x-0.6512235451401656)-7.733081477550423*(x-0.6512235451401656)*(x-0.6512235451401656)+0.0*(x-0.6512235451401656)+1.0995739098412651
3,iterativefit,central,5,0.0,2.5,20.0,30.0,0.7518453260380299,0.8532535678863622,23.340928346290106*(x-0.7518453260380299)*(x-0.7518453260380299)*(x-0.7518453260380299)-4.604020407786156*(x-0.7518453260380299)*(x-0.7518453260380299)-0.5795325595224491*(x-0.7518453260380299)+1.0540375567846192
3,iterativefit,central,5,0.0,2.5,20.0,30.0,0.8532535678863622,0.9698382597855464,0.061583640114091204*(x-0.8532535678863622)*(x-0.8532535678863622)*(x-0.8532535678863622)+0.1072909829086541*(x-0.8532535678863622)*(x-0.8532535678863622)-0.7932152705196394*(x-0.8532535678863622)+0.9722630996976623
3,iterativefit,central,5,0.0,2.5,20.0,30.0,0.9698382597855464,1.1,0.881342226327848
3,iterativefit,central,5,0.0,2.5,30.0,50.0,-15.0,0.0,1.0352851797326286
3,iterativefit,central,5,0.0,2.5,30.0,50.0,0.0,0.0617729948480169,1.0352851797326286
